Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
Dove 4e’-5 (0 Flock 4e'-5 2276),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4e’-6 (0 Flock 4e'-6 2280),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4e’-7 (0 Flock 4e'-7 2262),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4e’-8 (0 Flock 4e'-8 2264),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4e’-9 (0 Flock 4e'-9 2441),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4p-1 (0 Flock 4p-1 2277),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4p-10 (0 Flock 4p-10 2233),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4p-11 (0 Flock 4p-11 2231),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4p-3 (0 Flock 4p-3 2304 ),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4p-4 (0 Flock 4p-4 2310),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4p-5 (0 Flock 4p-5 2259),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4p-7 (0 Flock 4p-7 222F),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-1 (0 Flock 4s-1 2436),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-10 (0 Flock 4s-10 2449),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-11 (0 Flock 4s-11 2445),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-12 (0 Flock 4s-12 241A),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-13 (0 Flock 4s-13 2453),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-14 (0 Flock 4s-14 241F),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-15 (0 Flock 4s-15 242F),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-16 (0 Flock 4s-16 2434),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-17 (0 Flock 4s-17 2432),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-18 (0 Flock 4s-18 2421),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
