Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
CBNT-2 (Carbonite 2),United Kingdom,Commercial,Surrey Satellite Technology Ltd.,Technology Development,LEO
CE-SAT-1 (Canon Electric Satellite 1),Japan,Commercial,Canon Electronics Space Technology Laboratory,Technology Development,LEO
CE-SAT-2B (Canon Electric Satellite 2B),Japan,Commercial,Canon Electronics Space Technology Laboratory,Technology Demonstration,LEO
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),USA,Military,M42 Technologies,Technology Development,LEO
Centauri-1,Australia,Commercial,Pumpkin Space Systems,Communications,LEO
Centauri-2,Australia,Commercial,Pumpkin Space Systems,Technology Development,LEO
Centispace-1-S1,China,Commercial,Innovation Academy for Microsatellites,Technology Development,LEO
CeReS (Compact Radiation belt Explorer),USA,Government,NASA Goddard Space Flight Center,Space Science,LEO
CERES 1 (CapacitÉ de Renseignement Électromagnétique Spatiale),France,Military,Thales Alenia Space,Earth Observation,LEO
CERES 2 (CapacitÉ de Renseignement Électromagnétique Spatiale),France,Military,Thales Alenia Space,Earth Observation,LEO
CERES 3 (CapacitÉ de Renseignement Électromagnétique Spatiale),France,Military,Thales Alenia Space,Earth Observation,LEO
Cesium Satellite 1,USA,Military,Cesium Astro,Technology Development,LEO
Cesium Satellite 2,USA,Military,Cesium Astro,Technology Development,LEO
CFOSat (China-France Oceanography Satellite),China/France,Government,China Academy of Space Technology (CAST)/National Centre for Space Studies (CNES),Earth Observation,LEO
Challenge One,Tunisia,Commercial,TELNET Holding,Technology Development,LEO
Chandra X-Ray Observatory (CXO),USA,Government,TRW Space and Electronics,Space Science,Elliptical
Changshagaoxin (TY 4-01) ,China,Commercial,Tianyi Research Institute,Technology Development,LEO
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),China,Government,Shanghai Engineering Center for Microsatellites,Earth Observation ,LEO
Chaohu-1,China,Commercial,Spacety Co. Ltd.,Earth Observation,LEO
"CHASE (Chinese Hydrogen Alpha Solar Explorer, Xihe)",China,Government,Shanghai Institute of Satellite Engineering at the Shanghai Academy of Spaceflight Technology,Space Science,LEO
Checkmate 1,USA,Military,York Space Systems,Technology Demonstration,LEO
Checkmate 2,USA,Military,York Space Systems,Technology Demonstration,LEO
Checkmate 3,USA,Military,York Space Systems,Technology Demonstration,LEO
Checkmate 4,USA,Military,York Space Systems,Technology Demonstration,LEO
Checkmate 5,USA,Military,York Space Systems,Technology Demonstration,LEO
Checkmate 6,USA,Military,York Space Systems,Technology Demonstration,LEO
Checkmate 7,USA,Military,York Space Systems,Technology Demonstration,LEO
Checkmate 8,USA,Military,York Space Systems,Technology Demonstration,LEO
CHEOPS (CHaracterising ExOPlanet Satellite),ESA,Government,European Space Agency,Space Science,LEO
Chimera LEO-1,Argentina,Commercial,Epic Aerospace,Technology Demonstration,LEO
CHOMPTT (CubeSat Handling Of Multisystem Precision Time Transfer),USA,Government/Civil,University of Florida,Technology Development,LEO
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",China,Government,Chinese Academy of Sciences,Communications,LEO
Chuangxin 1-2 (Innovation 1-2),China,Government,Chinese Academy of Sciences,Earth Observation,LEO
Chuangxin 1-3 (Innovation 1-3),China,Government,Chinese Academy of Sciences,Earth Observation,LEO
Chuangxin 1-4 (Innovation 1-4),China,Government,Chinese Academy of Sciences,Earth Observation,LEO
Chuangxin-16A,China,Government,Chinese Academy of Sciences,Technology Development,LEO
Chuangxin-16B,China,Government,Chinese Academy of Sciences,Technology Development,LEO
Chuangxin-3,China,Government,Chinese Academy of Sciences,Technology Development,LEO
Cicero-10 (Community Initiative for Cellular Earth Remote Observation-10),USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Cicero-2,USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Cicero-2 OP1,USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Cicero-2 OP2,USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Cicero-3,USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Cicero-6 (Community Initiative for Cellular Earth Remote Observation-6),USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Cicero-7 (Community Initiative for Cellular Earth Remote Observation-7),USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Cicero-8 (Community Initiative for Cellular Earth Remote Observation-8),USA,Commercial,Tyvak Nanosatellite Systems,Earth Observation,LEO
Ciel-2,Canada,Commercial,Thales Alenia Space,Communications,GEO
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",USA,Civil,"Space Sciences Laboratory (SSL) of the University of California Berkeley; Kyung Hee University (KHU), Imperial College London",Space Science,LEO
CIRBE (Colorado Inner Radiation Belt Experiment),USA,Civil,"Laboratory for Atmosphere and Space Physics, University of Colorado at Boulder",Space Science,LEO
CIRiS (Compact Radiometer in Space),USA,Commercial/Civil,Utah State University/Ball Aerospace/NASA,Technology Development,LEO
CLIO (USA 257),USA,Military,Lockheed Martin,Communications,GEO
Cloudsat,USA,Government/Civil,NASA Jet Propulsion Laboratory,Earth Observation,LEO
CMS-1 (GSAT 12R),India,Government,Indian Space Research Organization (ISRO),Communications,GEO
CNCE-1,USA,Military,Unknown,Communications,LEO
CNCE-3,USA,Military,Unknown,Communications,LEO
Compass-2 (QB50-DE04),Germany,Government/Civil,FH Aachen,Technology Development,LEO
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,Government,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),Earth Observation/Communications,GEO
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Military,Thales Alenia Space,Communications,GEO
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Military,Thales Alenia Space,Communications,GEO
Connecta T1-2 ,Turkey,Commercial,Plan-S,Communications,LEO
Connecta T2-1,Turkey,Commercial,Plan-S,Earth Observation,LEO
Coriolis (Windsat),USA,Military,"Spectrum Astro, Inc.",Earth Observation,LEO
CORVUS BC1 (Landmapper),USA,Commercial,Astro Digital,Earth Observation,LEO
CORVUS BC2 (Landmapper),USA,Commercial,Astro Digital,Earth Observation,LEO
CORVUS BC3 (Landmapper),USA,Commercial,Astro Digital,Earth Observation,LEO
CORVUS BC4 (Landmapper),USA,Commercial,Astro Digital,Earth Observation,LEO
CORVUS BC5 (Landmapper),USA,Commercial,Astro Digital,Earth Observation,LEO
"COSMIC 2-1 (COSMIC FM-1, Formosat 7A)",Taiwan,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
"COSMIC 2-2 (COSMIC FM-2, Formosat 7B)",Taiwan,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
"COSMIC 2-3 (COSMIC FM-3, Formosat 7C)",Taiwan,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
"COSMIC 2-4 (COSMIC FM-4, Formosat 7D)",Taiwan,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
"COSMIC 2-5 (COSMIC FM-5, Formosat 7E)",Taiwan,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
"COSMIC 2-6 (COSMIC FM-6, Formosat 7F)",Taiwan,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan,Government/Civil,Orbital Sciences Corp.,Earth Observation,LEO
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan,Government/Civil,Orbital Sciences Corp.,Earth Observation,LEO
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan,Government/Civil,Orbital Sciences Corp.,Earth Observation,LEO
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan,Government/Civil,Orbital Sciences Corp.,Earth Observation,LEO
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan,Government/Civil,Orbital Sciences Corp.,Earth Observation,LEO
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Military/Civil,Thales Alenia Space,Earth Observation,LEO
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Military/Government,Thales Alenia Space,Earth Observation,LEO
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Military/Government,Thales Alenia Space,Earth Observation,LEO
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Military/Government,Thales Alenia Space,Earth Observation,LEO
COSMO-Skymed FM2,Italy,Military/Government,Thales Alenia Space,Earth Observation,LEO
Cosmos 2504,Russia,Military,ISS Reshetnev,Technology Development,LEO
Cosmos 2535,Russia,Military,Unknown,Technology Development,LEO
Cosmos 2536,Russia,Military,Unknown,Technology Development,LEO
Cosmos 2542,Russia,Military,Unknown,Earth/Space Observation,LEO
Cosmos 2543,Russia,Military,Unknown,Earth/Space Observation,LEO
Cosmos 2568,Russia,Military,Unknown,Earth/Space Observation,LEO
Cosmos 3537,Russia,Military,Unknown,Technology Development,LEO
Cosmos 3538,Russia,Military,Unknown,Technology Development,LEO
CP-10 (Exocube),USA,Government/Civil,California Polytechnic University/NASA JPL,Earth Observation,LEO
Cryosat-2 ,ESA,Government,EADS Astrium,Earth Observation,LEO
CSG-1 (COSMO-SkyMed Second Generation),Italy,Military/Government,Thales Alenia Space,Earth Observation,LEO
CSIM-FD (Compact Spectral Irradiance Monitor - Flight Demonstration),USA,Civil,Blue Canyon Technologies,Space Science,LEO
CSO-1 (Optical Space Component-1),France,Military,Centre National D'études Spatiales (CNES),Earth Observation,LEO
CSO-2 (Optical Space Component-2),France,Military,Centre National D'études Spatiales (CNES),Earth Observation,LEO
"Cubebug 2 (Manolito, LO-74)",Argentina,Civil,"Argentinian Ministry of Science, Technology and Productive Innovation",Technology Development,LEO
CubeSail T,USA,Civil,University of Illinois Urbana-Champaign,Technology Development,LEO
"Cubesat XI-IV (Oscar 57, CO-57)",Japan,Civil,"Department of Astronautics, University of Tokyo",Technology Development,LEO
CuPID (Cusp Plasma Imaging Detector),USA,Government,NASA Goddard Space Flight Center collaborators,Earth Science,LEO
CUTE (Colorado Ultraviolet Transit Experiment),USA,Government,"Department of Astrophysical and Planetary Sciences, University of Colorado Boulder",Space Science,LEO
CYGNSS FM01 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
CYGNSS FM02 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
CYGNSS FM03 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
CYGNSS FM04 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
CYGNSS FM05 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
CYGNSS FM06 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
CYGNSS FM07 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
CYGNSS FM08 (Cyclone Global Navigation Satellite System),USA,Government,Southwest Research Institute,Earth Observation,LEO
D-Star ONE Sparrow,Germany,Commercial,German Orbital Systems,Technology Development,LEO
D2/AtlaCom-1 ,Mexico,Government,NanoAvionics,Earth Observation,LEO
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",Japan,Government,Mitsubishi Electric,Earth Observation,LEO
DAMPE (Dark Matter Particle Explorer),China,Government,China Academy of Science,Space Science,LEO
DaVinci,USA,Civil,North Idaho STEM Charter Academy,Educational,LEO
"Dayun (Starera 17, Xingshidai 17) ",China,Commercial,MinoSpace Technology (?),Earth Observation,LEO
"DCBB (Kaituo-1B, CAS-3G)",China,Civil,Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,Technology Development,LEO
Deimos 1,Spain,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
Deimos 2 ,Spain,Government,Satrec Initiative,Earth Observation,LEO
Dekart (Descartes),Russia,Civil,German Orbital Systems,Space Science,LEO
Delfi-C3 (DO-64),Netherlands,Civil,Technical University of Delft,Technology Development,LEO
DeMi (Deformable Mirror),USA,Civil,Massachusetts Institute of Technology/Blue Canyon Technologies Inc.,Technology Development,LEO
DEWASAT-2,United Arab Emirates,Government,NanoAvionics,Earth Observation,LEO
DhabiSat-1,United Arab Emirates,Civil,Khalifa University/Yahsat,Technology Development,LEO
DHFR (DARPA High Frequency Receiver),USA,Military,DARPA/University of Utah,Technology Development,LEO
Diamond Blue (3 Diamonds 1),United Kingdom,Commercial,GomSpace ApS,Technology Development,LEO
Diamond Green (3 Diamonds 2),United Kingdom,Commercial,GomSpace ApS,Technology Development,LEO
Diamond Red (3 Diamonds 3),United Kingdom,Commercial,GomSpace ApS,Technology Development,LEO
Dido-2,Switzerland,Commercial,Innovative Solutions in Space BV,Technology Development,LEO
Dido-3,Switzerland,Commercial,Innovative Solutions in Space BV,Space Science,LEO
DirecTV-10,USA,Commercial,Boeing Space & Intelligence Systems,Communications,GEO
DirecTV-11,USA,Commercial,Boeing Satellite Development Center,Communications,GEO
DirecTV-12,USA,Commercial,Boeing Space Systems,Communications,GEO
DirecTV-14,USA,Commercial,Space Systems/Loral,Communications,GEO
DirecTV-15,USA,Commercial,Airbus Defense and Space,Communications,GEO
DirecTV-5 (Tempo 1),USA,Commercial,Space Systems/Loral,Communications,GEO
DirecTV-8,USA,Commercial,Space Systems/Loral,Communications,GEO
DirecTV-9S,USA,Commercial,Space Systems/Loral,Communications,GEO
DISCO-1 (Danish Student Cubesat Programme),Denmark,Civil,Danish Student Cubesat Programme,Space Science,LEO
Diwata-2B,Japan,Civil,PHL Microsat,Earth Observation,LEO
DLR Tubsat ,Germany,Government,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Earth Science,LEO
DMC 3-1 (Disaster Monitoring Constellation),United Kingdom,Commercial,Surrey Satellite Technology Ltd.,Earth Observation,LEO
DMC 3-2 (Disaster Monitoring Constellation),United Kingdom,Commercial,Surrey Satellite Technology Ltd.,Earth Observation,LEO
DMC 3-3 (Disaster Monitoring Constellation),United Kingdom,Commercial,Surrey Satellite Technology Ltd.,Earth Observation,LEO
DMSat-1 (Dubai Municipality Satellite),United Arab Emirates,Government,UNITAS Space Flight Laboratory (SFL),Earth Observation,LEO
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,Military,Lockheed Martin Missiles & Space,Earth Observation,LEO
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,Military,Lockheed Martin Missiles & Space,Earth Observation,LEO
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,Military,Lockheed Martin Missiles & Space,Earth Observation,LEO
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,Military,Lockheed Martin Missiles & Space,Earth Observation,LEO
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,Military,Lockheed Martin Missiles & Space,Earth Observation,LEO
Dodona,USA,Civil/Commercial,Lockheed Martin Missiles & Space,Technology Development,LEO
DoT-1 (Demonstration of Technology 1),United Kingdom,Commercial,Surrey Satellite Technology Ltd.,Technology Development,LEO
Dove 3k-10 (0 Flock 3K-10 106d),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 3k-4 (0 Flock 3K-4 1063),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
